,opinion,target
10,"{'digit': ['digital'], 'great': ['great', 'great', 'great', 'great'], 'easi': ['easy', 'easy'], 'shutter': ['shutter', 'shutter', 'shutter'], 'abl': ['able', 'able'], '4th': ['4th'], 'amaz': ['amazing'], 'intuit': ['intuitive'], 'manual': ['manual', 'manual'], 'locat': ['located'], 'quick': ['quick'], 'high': ['high'], 'focal': ['focal'], 'full': ['full'], 'ideal': ['ideal'], 'photo': ['photo'], 'fast': ['fast'], 'good': ['good'], 'cheap': ['cheap'], 'lexar': ['lexar'], 'small': ['small'], 'slow': ['slow']}","{'slr': ['slr', 'slr'], 'camera': ['camera', 'camera', 'camera', 'camera', 'camera', 'camera'], 'canon': ['canon'], 'g3': ['g3'], 'ton': ['tons'], 'control': ['control', 'controls', 'controls'], 'photo': ['photo', 'photos', 'photos'], 'buff': ['buffs'], 'auto': ['auto'], 'mode': ['mode', 'mode', 'mode'], 'novic': ['novice'], 'anyon': ['anyone'], 'love': ['love'], 'option': ['option', 'options'], 'f-stop': ['f-stop'], 'speed': ['speed', 'speed', 'speed'], 'fire': ['fire'], 'shot': ['shots'], 'kid': ['kids'], 'sparkler': ['sparklers'], 'manual': ['manual'], 'point': ['point'], 'shoot': ['shoot'], 'spin': ['spin'], 'dial': ['dial'], 'prioriti': ['priority', 'priority'], 'subject': ['subjects'], 'apertur': ['aperture', 'aperture'], 'length': ['length'], 'program': ['program'], 'qualiti': ['quality', 'quality'], 'access': ['access', 'access'], 'select': ['selection'], 'featur': ['features'], 't': ['t'], 'feel': ['feel'], 'weight': ['weight'], 'someth': ['something'], 'plastic': ['plastic'], 'toy': ['toy'], 'work': ['work'], 'cf': ['cf'], 'card': ['card'], 'eas': ['ease'], 'use': ['use'], 'purchas': ['purchase']}"
11,"{'outstand': ['outstanding', 'outstanding'], 'first': ['first'], 'digit': ['digital'], 'pleas': ['pleased'], 'whole': ['whole'], 'happi': ['happy'], 'pro': ['pro'], 'expert': ['expert'], 'amateur': ['amateur'], 'same': ['same'], 'wonder': ['wonderful'], 'averag': ['average'], 'great': ['great'], 'fine': ['fine'], 'simpl': ['simple', 'simple'], 'amaz': ['amazing']}","{'camera': ['camera', 'camera', 'camera', 'cameras', 'camera', 'camera', 'camera'], 'lot': ['lot'], 'photographi': ['photography'], 'skill': ['skill'], 'knowledg': ['knowledge'], 'thing': ['thing', 'thing'], 'everyth': ['everything'], 'time': ['time'], 'pictur': ['pictures'], 'auto': ['auto'], 'mode': ['mode'], 'joe': ['joe'], 'megapixel': ['megapixels'], 'mp': ['mp'], 'canon': ['canon'], 'imag': ['images'], 'point': ['point'], 'complex': ['complex'], 'product': ['product']}"
12,"{'new': ['new'], 'excel': ['excellent'], 'clear': ['clear'], 'easi': ['easy'], 'onli': ['only'], 'minor': ['minor'], 'best': ['best']}","{'g': ['g'], 'camera': ['camera', 'camera', 'camera'], 'day': ['days', 'day'], 'featur': ['features', 'features'], 'photo': ['photos'], 'mode': ['mode'], 'drawback': ['drawback'], 'viewfind': ['viewfinder'], 'len': ['lens'], 'lcd': ['lcd'], 'problem': ['problem'], 'market': ['market']}"
13,"{'more': ['more'], 'nikon': ['nikon']}","{'nois': ['noise', 'noise'], 'level': ['level'], 'camera': ['camera'], 'iso': ['iso']}"
14,"{'brillient': ['brillient'], 'few': ['few', 'few'], 'first': ['first'], 'great': ['great'], 'digit': ['digital'], 'loos': ['loose'], 'finger-print': ['finger-printed'], 'potenti': ['potential'], 'shaki': ['shaky'], 'uneasi': ['uneasy']}","{'pictur': ['pictures', 'picture'], 'camera': ['camera'], 'day': ['days'], 'feel': ['feelings'], 'qualiti': ['quality'], 'color': ['color'], 'sharp': ['sharpness'], 'doubt': ['doubt'], 'imag': ['imaging'], 'grain': ['grain'], 'time': ['time', 'times'], 'b': ['b'], 'len': ['lens', 'len', 'lens'], 'cover': ['cover'], 'canon': ['canon'], 'way': ['way'], 'issu': ['issue'], 'lever': ['lever']}"
15,"{'great': ['great', 'great', 'great', 'great'], 'last': ['last'], 'reput': ['reputable'], 'white': ['white'], 'optic': ['optical'], 'other': ['other'], 'same': ['same'], 'littl': ['little']}","{'week': ['week'], 'amazon': ['amazon'], 'deal': ['deal'], 'seller': ['seller'], 'camera': ['camera'], 'option': ['options'], 'hundr': ['hundreds'], 'pictur': ['pictures', 'pictures'], 'color': ['colors'], 'balanc': ['balance'], 'zoom': ['zoom'], 'price': ['price'], 'rang': ['range'], 'bit': ['bit']}"
16,"{'digit': ['digital', 'digital'], 'disappoint': ['disappointing'], 'few': ['few'], 'expens': ['expensive'], 'sure': ['sure', 'sure'], 'superior': ['superior'], 'minim': ['minimal'], 'low': ['low'], 'light': ['light', 'light'], 'much': ['much'], 'terribl': ['terrible'], 'next': ['next'], 'great': ['great'], 'outdoor': ['outdoor'], 'awesom': ['awesome'], 'simpl': ['simple'], 'cheaper': ['cheaper'], 'extra': ['extra'], 'high': ['high'], 'versatil': ['versatile', 'versatile'], 'best': ['best']}","{'camera': ['camera', 'camera', 'camera', 'camera', 'camera', 'camera', 'camera'], 'lack': ['lack'], 'experi': ['experience'], 'shot': ['shots', 'shots'], 'month': ['months'], 'featur': ['features'], 'film': ['film', 'film'], 'zoom': ['zoom'], 'p': ['p'], 's': ['s'], 'result': ['results', 'results'], 'effort': ['effort'], 'life': ['life'], 'situat': ['situations'], 'sort': ['sort'], 'action': ['action', 'action'], 'dust': ['dust'], 'speed': ['speed'], 'grain': ['grain'], 'time': ['time', 'time'], 'flash': ['flash'], 'photo': ['photos', 'photos', 'photos'], 'lot': ['lot', 'lots'], 'nois': ['noise'], 'plenti': ['plenty'], 'light': ['light', 'light'], 'object': ['objects'], 'printer': ['printer'], 'output': ['output', 'output'], 'point': ['point'], 'shoot': ['shoot'], 'photographi': ['photography'], 'resolut': ['resolution'], 'cost': ['cost'], 'use': ['use'], 'desir': ['desire'], 'qualiti': ['quality'], 'g3': ['g3'], 'mine': ['mine']}"
17,"{'long-tim': ['long-time'], 'respons': ['responsive'], 'profession': ['professional', 'professional'], 'extern': ['external', 'external', 'external', 'external', 'external'], 'first': ['first', 'first', 'first'], 'digit': ['digital'], 'full': ['full'], 'least': ['least', 'least', 'least'], 'impati': ['impatient'], 'point-and-shoot': ['point-and-shoot', 'point-and-shoot'], 'inher': ['inherent'], 'high': ['high'], 'clean': ['clean'], 'long': ['long'], 'bright': ['bright'], 'unsatisfactori': ['unsatisfactory'], 'light': ['light'], 'built-in': ['built-in'], 'focus-lock': ['focus-lock', 'focus-lock'], 'modern': ['modern'], 'youv': ['youve'], 'second': ['second', 'second', 'second', 'second', 'second'], 'better': ['better', 'better'], 'avail': ['available', 'available'], 'extrem': ['extreme'], 'obtain': ['obtainable'], 'restless': ['restless'], 'amus': ['amusing'], 'reason': ['reasonable'], 'intern': ['internal'], 'harsh': ['harsh'], 'flat': ['flat'], 'ugli': ['ugly'], 'hot': ['hot', 'hot'], 'highest': ['highest'], 'proper': ['proper'], 'absolut': ['absolute'], 'ultim': ['ultimate'], 'manual': ['manual'], 'f-stop': ['f-stop'], 'contrari': ['contrary'], 'third-parti': ['third-party'], 'dedic': ['dedicated'], 'most': ['most', 'most'], 'close': ['close'], 'subject': ['subject'], 'neutral': ['neutral'], 'more': ['more', 'more'], 'direct': ['direct'], 'attend': ['attendant'], 'accept': ['acceptable'], 'stun': ['stunning', 'stunning', 'stunned'], 'shadow-fre': ['shadow-free'], 'gentlest': ['gentlest'], 'natur': ['natural'], 'raw': ['raw', 'raw', 'raw', 'raw', 'raw', 'raw', 'raw', 'raw', 'raw', 'raw', 'raw', 'raw', 'raw'], 'present': ['present'], 'image-affect': ['image-affecting'], 'true': ['true'], 'plug-in': ['plug-in', 'plug-in', 'plug-in', 'plug-in'], 'accur': ['accurate'], 'realist': ['realistic'], 'ive': ['ive', 'ive', 'ive'], 'photorealist': ['photorealistic']}","{'limit': ['limitations', 'limitations', 'limitations', 'limitations', 'limits'], 'user': ['user'], 'film': ['film', 'film', 'film', 'film'], 'slrs': ['slrs'], 'qualiti': ['quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality'], 'flash': ['flash', 'flash', 'flash', 'flash', 'flash', 'flash', 'flashes', 'flash', 'flash', 'flashes', 'flashes', 'flash', 'flash', 'flash', 'flash', 'flash', 'flash', 'flash'], 'equip': ['equipment'], 'bias': ['bias'], 'develop': ['development'], 'digicam': ['digicams', 'digicam', 'digicams', 'digicams'], 'year': ['years', 'years'], 'move': ['move'], 'slr': ['slr', 'slr', 'slr'], 'sensor': ['sensor'], 'nikon': ['nikon', 'nikon', 'nikon', 'nikon'], 'lens': ['lenses'], 'featur': ['features'], 'g3': ['g3', 'g3', 'g3', 'g3', 'g3', 'g3', 'g3', 'g3', 'g3', 'g3', 'g3', 'g3', 'g3', 'g3'], 'reput': ['reputation'], 'imag': ['images', 'images', 'images', 'images', 'images', 'image', 'images', 'images', 'image', 'image', 'image', 'image', 'image', 'images', 'images'], 'lag': ['lag', 'lag', 'lag', 'lag'], 'time': ['time', 'time', 'time', 'time', 'time', 'time'], 'light': ['light', 'lighting', 'light'], 'technolog': ['technology'], 'problem': ['problem', 'problem', 'problem', 'problem'], 'anyon': ['anyone'], 'focus': ['focus', 'focus'], 'lock': ['lock', 'lock'], 'shutter': ['shutter', 'shutter', 'shutter', 'shutter'], 'ive': ['ive'], 'anyth': ['anything', 'anything'], 'someth': ['something'], 'depth': ['depth'], 'field': ['field'], 'point': ['point'], 'f8': ['f8'], 'subject': ['subject', 'subject'], 'pet': ['pet'], 'child': ['child'], 'probabl': ['probability'], 'spot': ['spots', 'spot'], 'shoe': ['shoe'], 'money': ['money'], 'metz': ['metz', 'metz', 'metz', 'metz', 'metz', 'metz', 'metz', 'metz', 'metz', 'metz'], 'ct-4': ['ct-4', 'ct-4', 'ct-4'], 'canon': ['canon', 'canon', 'canon'], 'camera': ['camera', 'camera', 'camera', 'camera', 'camera', 'camera', 'camera', 'camera', 'camera', 'cameras'], 'modul': ['module', 'module'], 'extens': ['extension'], 'cord': ['cord', 'cord'], '45cl-3': ['45cl-3'], 'sca': ['sca', 'sca', 'sca'], 'order': ['order'], 'mode': ['mode', 'mode'], 'speed': ['speed'], 'sync': ['sync', 'sync'], 'control': ['controls', 'control'], 'head': ['head', 'head'], 'panel': ['panel'], 'durat': ['duration'], 'exposur': ['exposure', 'exposure', 'exposure'], 'youv': ['youve', 'youve'], 'rang': ['range', 'range'], 'wall': ['walls', 'walls'], 'filter': ['filters'], 'cant': ['cant'], 'shadow': ['shadows'], 'result': ['results'], 'complaint': ['complaint'], 'softwar': ['software', 'software', 'software', 'software', 'software'], 'thing': ['thing'], 'cf': ['cf', 'cf'], 'set': ['settings'], 'file': ['file', 'files'], 'store': ['stores'], 'youd': ['youd'], 'experi': ['experiment'], 'photoshop': ['photoshop', 'photoshop', 'photoshop'], 'hardwar': ['hardware', 'hardware'], 'tweak': ['tweaking'], 'color': ['colors'], 'show': ['shows'], 'realiti': ['reality'], 'conjunct': ['conjunction'], 'system': ['system'], 'resolut': ['resolution']}"
18,"{'great': ['great'], 'perfect': ['perfect', 'perfect'], 'easi': ['easy'], 'most': ['most', 'most'], 'digit': ['digital', 'digital', 'digital'], 'manual': ['manual'], 'excel': ['excellent'], 'quick': ['quick'], 'astound': ['astounding'], 'good': ['good'], 'other': ['other'], 'similar': ['similar'], 'best': ['best', 'best'], 'enough': ['enough'], 'cheapest': ['cheapest'], 'mani': ['many']}","{'sock': ['socks'], 'month': ['months', 'month'], 'decis': ['decision'], 'camera': ['camera', 'camera', 'cameras', 'cameras', 'camera'], 'photo': ['photo'], 'hobbiest': ['hobbiest'], 'point': ['point', 'point'], 'shoot': ['shoot'], 'abil': ['ability'], 'girlfriend': ['girlfriend'], 'hand': ['hands'], 'time': ['time', 'time'], 'batteri': ['battery'], 'life': ['life'], 'drawback': ['drawback'], 'k.': ['k.'], 'function': ['functionality'], 'pictur': ['pictures'], 'qualiti': ['quality'], 'worth': ['worth'], 'research': ['research'], 'buy': ['buy'], 'buck': ['buck'], 'viewfind': ['viewfinder'], 'instances.but': ['instances.but'], 'lcd': ['lcd'], 'instanc': ['instances'], 'mp': ['mp', 'mp'], 'review': ['review', 'review'], 'site': ['sites']}"
19,"{'great': ['great', 'great'], 'digit': ['digital'], 'posit': ['positive', 'positive'], 'lead': ['leading'], 'onlin': ['online', 'online'], 'differ': ['different'], 'glad': ['glad'], 'except': ['exceptional'], 'perfect': ['perfect'], 'more': ['more'], 'topnotch': ['topnotch'], 'readi': ['ready'], 'abl': ['able', 'able'], 'excel': ['excellent'], 'contrari': ['contrary'], 'other': ['other', 'other'], 'tremend': ['tremendous'], 'manual': ['manual'], 'coastal': ['coastal'], 'addit': ['additional'], 'macro-focuss': ['macro-focussing'], 'wonder': ['wonderful'], 'onli': ['only'], 'legitim': ['legitimate'], 'littl': ['little']}","{'camera': ['camera', 'camera', 'camera', 'camera', 'camera', 'camera'], 'review': ['review', 'reviews', 'reviewers', 'reviews'], 'magazin': ['magazine'], 'object': ['objections'], 'naysay': ['naysayers'], 'g3': ['g3'], 'tri': ['try'], 'servic': ['service'], 'time': ['time'], 'condit': ['condition'], 'month': ['month'], 'photo': ['photos', 'photos', 'photos'], 'flybal': ['flyball'], 'competit': ['competition'], 'dog': ['dogs'], 'shutter': ['shutter', 'shutter'], 'posit': ['position'], 'set': ['settings'], 'dream': ['dream'], 'flexibl': ['flexibility'], 'apertur': ['aperture'], 'prioriti': ['priority', 'priority'], 'mode': ['modes'], 'forest': ['forests'], 'featur': ['features'], 'option': ['option'], 'trillium': ['trilliums'], 'flower': ['flowers'], 'bloom': ['bloom'], 'criticsm': ['criticsm'], 'fact': ['fact'], 'len': ['lens'], 'viewfind': ['viewfinder'], 'effect': ['effect'], 'doubler': ['doubler'], 'lcd': ['lcd'], 'panel': ['panel'], 't': ['t'], 'thing': ['things']}"
